seed, Total QALY
493, 473671
602, 441712
351, 397026
1148, 328108
134, 374155
860, 471148
1019, 351371
1160, 375314
28, 435200
1208, 273328
444, 378596
390, 455723
353, 360564
1192, 343812
794, 412042
745, 443083
456, 416533
722, 307759
988, 406808
1066, 380002
621, 261626
584, 303522
200, 298063
216, 386277
1161, 415752
209, 323237
676, 360740
93, 486427
1162, 370472
238, 422796
586, 346190
439, 320259
1191, 426624
1092, 503630
1084, 380932
1203, 406671
1055, 383919
738, 333481
618, 359496
162, 353532
543, 291975
744, 418800
259, 467069
505, 394486
699, 341936
119, 308791
54, 320887
222, 352352
669, 362691
192, 330956
896, 324721
816, 378909
173, 336332
30, 357291
710, 284733
712, 371433
1059, 312125
65, 370939
144, 330172
1032, 449436
51, 338327
332, 434964
619, 374191
488, 293782
430, 499263
575, 421186
1087, 378686
873, 359783
719, 424858
758, 377559
749, 330573
773, 254790
261, 333225
190, 467355
449, 396112
688, 403658
799, 325095
961, 467335
393, 350488
339, 417448
903, 360905
151, 336505
418, 421344
565, 269383
377, 509557
1195, 307238
96, 398288
