seed, Total QALY
425, 262516
1151, 257507
856, 298999
480, 292540
72, 306078
1144, 276508
1053, 268504
121, 262638
105, 300564
34, 291143
399, 277741
440, 253818
523, 258557
435, 243135
201, 425514
778, 322934
998, 301869
1137, 312038
1239, 335899
729, 238741
453, 337168
753, 306316
828, 292151
451, 324006
211, 391284
836, 255407
582, 298390
1061, 321493
361, 350320
519, 291179
328, 347226
908, 353734
518, 239888
1039, 304919
126, 271564
713, 287187
601, 288488
511, 239242
942, 253475
394, 266488
862, 275108
1057, 269885
783, 317901
983, 370401
843, 286034
567, 220445
1149, 277320
450, 296142
366, 300931
534, 259204
108, 297979
244, 279204
46, 257474
311, 224123
464, 219811
922, 336844
77, 295840
130, 237629
2, 334555
155, 300008
894, 343229
949, 384171
22, 193657
592, 311808
268, 275252
984, 376150
461, 284804
647, 248384
148, 337914
1158, 358102
159, 269159
810, 290450
654, 292795
1027, 314927
1115, 285228
502, 280595
1223, 266180
414, 345051
684, 295398
354, 321942
877, 308128
110, 238386
357, 293316
494, 332070
233, 259780
329, 270044
851, 267688
286, 248218
614, 267363
274, 308032
371, 326461
62, 387445
217, 260280
400, 255882
306, 265429
442, 268144
681, 355597
1248, 333246
892, 238477
664, 296077
720, 283430
218, 317297
772, 287052
493, 389878
602, 330788
351, 337203
1148, 265811
134, 321735
860, 377708
1019, 275459
1160, 304001
28, 318666
1208, 192657
444, 284521
390, 356417
353, 312481
1192, 268273
794, 334073
745, 379272
456, 334407
722, 231220
988, 316884
1066, 310124
621, 243102
584, 246290
200, 243587
216, 313650
1161, 342733
209, 283575
676, 296974
93, 370742
1162, 297675
238, 352301
586, 286317
439, 250364
1191, 332901
1092, 329953
1084, 292279
1203, 290267
1055, 271507
738, 269818
618, 280813
162, 272552
543, 238070
744, 323640
259, 342933
505, 329941
699, 276339
119, 235043
54, 259462
222, 278416
669, 256801
192, 273404
896, 264780
816, 297463
173, 283707
30, 282254
710, 208952
712, 313008
1059, 254391
65, 291720
144, 281007
1032, 340900
51, 253407
332, 318814
619, 295774
488, 240675
430, 332446
575, 344786
1087, 263978
873, 282906
719, 343021
758, 278562
749, 262783
773, 193017
261, 275960
190, 382113
449, 278812
688, 307408
799, 275151
961, 351521
393, 273189
339, 316091
903, 282103
151, 267966
418, 313114
565, 201825
377, 419193
1195, 263066
96, 320631
